"id";"campaign_id";"coupon_id";"redemption_status";"customer_id";"age_range";"marital_status";"rented";"family_size";"no_of_children";"income_bracket"
97;26;867;0;0;"";"";0;0;"";0
99;8;709;0;0;"";"";0;0;"";0
101;13;169;0;888;"26-35";"Married";0;3;"1";4
102;8;8;0;0;"";"";0;0;"";0
103;30;1083;0;0;"";"";0;0;"";0
104;13;530;0;657;"26-35";"Married";0;4;"2";1
106;3;822;0;0;"";"";0;0;"";0
107;13;126;0;590;"36-45";"";0;2;"";1
110;8;700;0;0;"";"";0;0;"";0
113;26;917;0;0;"";"";0;0;"";0
115;12;109;0;416;"36-45";"Married";1;4;"2";5
117;13;22;0;0;"";"";0;0;"";0
118;13;960;0;572;"36-45";"Married";0;2;"";4
121;13;24;0;0;"";"";0;0;"";0
122;8;772;0;0;"";"";0;0;"";0
123;13;603;0;1152;"46-55";"";0;3;"1";10
124;29;982;0;0;"";"";0;0;"";0
125;13;510;0;0;"";"";0;0;"";0
129;13;982;0;0;"";"";0;0;"";0
130;13;132;0;0;"";"";0;0;"";0
131;8;60;0;1202;"36-45";"Single";0;3;"1";6
134;12;1063;0;1025;"46-55";"Married";0;2;"";5
135;13;166;0;0;"";"";0;0;"";0
136;13;679;0;619;"36-45";"Single";1;2;"1";4
137;3;839;0;0;"";"";0;0;"";0
139;4;459;0;15;"46-55";"Married";0;2;"";6
141;8;658;0;0;"";"";0;0;"";0
142;10;106;0;0;"";"";0;0;"";0
144;13;168;0;0;"";"";0;0;"";0
146;8;473;0;8;"26-35";"";0;4;"2";6
151;8;627;0;0;"";"";0;0;"";0
152;13;145;0;932;"36-45";"";0;1;"";5
154;8;7;0;1195;"56-70";"Married";0;2;"";5
155;12;109;0;0;"";"";0;0;"";0
156;13;667;0;0;"";"";0;0;"";0
158;30;924;0;1383;"26-35";"Married";0;2;"";5
159;29;621;0;569;"46-55";"";0;1;"";9
160;8;761;0;0;"";"";0;0;"";0
161;13;467;0;1003;"46-55";"";0;1;"";5
164;29;985;0;0;"";"";0;0;"";0
165;13;171;0;0;"";"";0;0;"";0
167;13;1056;0;0;"";"";0;0;"";0
169;13;890;0;745;"36-45";"";0;1;"";1
170;13;920;0;1136;"46-55";"Married";0;2;"";6
171;5;279;0;1491;"26-35";"";0;2;"";4
172;30;948;0;1534;"36-45";"Married";0;3;"1";5
176;8;383;0;0;"";"";0;0;"";0
179;26;368;0;0;"";"";0;0;"";0
180;12;107;0;879;"46-55";"Single";1;1;"";4
181;9;19;0;608;"26-35";"";0;2;"";5
182;9;19;0;755;"36-45";"Married";0;2;"";5
183;29;800;0;0;"";"";0;0;"";0
184;13;420;0;0;"";"";0;0;"";0
186;13;756;0;0;"";"";0;0;"";0
187;12;783;0;686;"26-35";"";0;2;"";4
188;7;687;0;441;"70+";"Single";0;1;"";2
192;11;913;0;666;"26-35";"";0;1;"";4
193;8;725;0;0;"";"";0;0;"";0
194;13;483;0;434;"46-55";"";0;1;"";5
195;8;674;0;0;"";"";0;0;"";0
196;13;275;0;1303;"56-70";"Married";0;2;"";5
197;9;788;0;155;"70+";"";0;2;"";5
198;13;170;0;0;"";"";0;0;"";0
200;8;14;0;1410;"46-55";"";0;3;"1";10
202;13;1083;0;607;"70+";"Single";0;1;"";4
205;29;416;0;874;"46-55";"Married";0;2;"";5
206;5;689;0;0;"";"";0;0;"";0
207;8;54;0;1201;"18-25";"";0;1;"";1
208;13;113;0;0;"";"";0;0;"";0
209;13;125;0;0;"";"";0;0;"";0
213;8;902;0;28;"46-55";"";0;2;"";1
214;12;526;0;42;"26-35";"Married";0;4;"2";9
215;13;144;0;0;"";"";0;0;"";0
217;11;506;0;0;"";"";0;0;"";0
218;8;554;0;1082;"56-70";"Single";0;1;"";4
219;26;936;0;0;"";"";0;0;"";0
220;11;971;0;0;"";"";0;0;"";0
221;30;872;0;871;"36-45";"Married";0;3;"1";7
222;29;873;0;501;"46-55";"";0;1;"";5
224;29;643;0;0;"";"";0;0;"";0
225;8;433;0;343;"46-55";"";0;1;"";4
228;29;538;0;0;"";"";0;0;"";0
230;13;131;0;754;"46-55";"";0;1;"";2
231;4;591;0;41;"46-55";"Single";0;2;"";4
233;13;608;0;0;"";"";0;0;"";0
238;29;800;0;131;"46-55";"";0;2;"";5
239;8;723;0;0;"";"";0;0;"";0
240;8;76;0;612;"18-25";"";0;1;"";1
241;13;152;0;0;"";"";0;0;"";0
242;29;696;0;0;"";"";0;0;"";0
243;8;544;0;0;"";"";0;0;"";0
247;13;148;0;936;"70+";"";0;2;"";4
250;8;97;0;389;"26-35";"Married";0;4;"2";6
254;7;687;0;0;"";"";0;0;"";0
255;12;819;0;0;"";"";0;0;"";0
259;13;673;0;0;"";"";0;0;"";0
260;13;123;0;0;"";"";0;0;"";0
261;8;490;0;38;"46-55";"Single";0;2;"";5
262;8;55;0;0;"";"";0;0;"";0
264;9;989;0;569;"46-55";"";0;1;"";9
265;8;83;0;0;"";"";0;0;"";0
266;8;437;0;1449;"46-55";"Single";1;4;"2";3
267;3;836;0;725;"56-70";"";1;3;"1";3
269;8;806;0;0;"";"";0;0;"";0
270;13;891;0;0;"";"";0;0;"";0
273;9;870;0;384;"36-45";"Single";0;1;"";3
275;13;132;0;835;"70+";"Married";0;2;"";5
277;13;542;0;923;"46-55";"";0;1;"";4
279;8;64;0;0;"";"";0;0;"";0
282;13;1114;0;0;"";"";0;0;"";0
283;30;646;0;1192;"70+";"";0;1;"";2
284;30;566;0;0;"";"";0;0;"";0
286;11;913;0;1058;"46-55";"Married";0;3;"1";5
287;9;520;0;1339;"56-70";"Single";0;2;"";4
290;11;910;0;0;"";"";0;0;"";0
291;11;913;0;1489;"46-55";"Married";0;2;"";3
292;13;467;0;1192;"70+";"";0;1;"";2
293;8;581;0;191;"56-70";"Married";0;2;"";1
295;8;537;0;1031;"36-45";"";0;1;"";2
298;8;656;0;0;"";"";0;0;"";0
299;13;960;1;467;"46-55";"";0;1;"";3
301;10;996;0;726;"46-55";"Single";0;3;"1";5
304;11;1012;0;0;"";"";0;0;"";0
305;8;759;0;932;"36-45";"";0;1;"";5
306;11;1044;0;1332;"36-45";"Married";0;2;"";8
307;8;616;0;402;"70+";"Married";0;3;"1";7
308;8;883;0;0;"";"";0;0;"";0
309;8;658;0;1292;"46-55";"Married";0;2;"";2
313;13;754;0;93;"56-70";"Married";0;2;"";3
316;8;430;0;835;"70+";"Married";0;2;"";5
317;13;796;0;474;"56-70";"Married";0;4;"2";6
318;13;786;0;450;"46-55";"Married";0;2;"";5
320;8;694;0;0;"";"";0;0;"";0
321;13;119;0;38;"46-55";"Single";0;2;"";5
322;8;481;0;0;"";"";0;0;"";0
325;13;940;0;0;"";"";0;0;"";0
326;8;916;0;355;"46-55";"";0;2;"";6
328;30;348;0;1357;"56-70";"Married";0;4;"2";4
329;26;855;0;0;"";"";0;0;"";0
330;8;554;0;0;"";"";0;0;"";0
331;11;1012;0;776;"46-55";"";0;1;"";2
332;8;792;0;0;"";"";0;0;"";0
335;10;968;0;737;"36-45";"Single";0;4;"3+";4
336;13;625;0;136;"56-70";"Single";0;2;"";1
337;9;105;0;553;"36-45";"Married";0;3;"1";11
342;26;470;0;0;"";"";0;0;"";0
343;8;283;0;1373;"46-55";"Married";0;3;"1";4
345;8;554;0;293;"56-70";"";0;1;"";4
346;13;161;0;626;"36-45";"Single";0;2;"1";4
347;8;6;0;0;"";"";0;0;"";0
351;12;466;0;1387;"46-55";"";0;1;"";1
352;30;1036;0;1061;"36-45";"Single";0;1;"";3
353;5;663;0;1346;"56-70";"Married";0;2;"";7
355;30;742;0;0;"";"";0;0;"";0
356;8;598;0;0;"";"";0;0;"";0
357;13;1112;0;0;"";"";0;0;"";0
359;26;797;1;214;"46-55";"Married";0;2;"";1
360;8;744;0;306;"46-55";"";0;1;"";5
361;13;480;0;686;"26-35";"";0;2;"";4
362;8;63;0;691;"46-55";"Married";0;4;"2";4
363;13;556;0;0;"";"";0;0;"";0
365;13;909;0;1528;"46-55";"";0;3;"1";2
366;13;734;0;800;"46-55";"Married";0;2;"";3
367;8;1085;0;0;"";"";0;0;"";0
368;7;1050;0;1208;"56-70";"Married";0;2;"";9
369;13;113;0;684;"36-45";"";0;2;"";3
370;13;27;0;1168;"18-25";"Married";1;2;"";4
371;13;153;0;0;"";"";0;0;"";0
372;13;949;0;441;"70+";"Single";0;1;"";2
374;26;1057;0;1046;"46-55";"Married";0;2;"";6
378;8;1018;0;189;"26-35";"Married";0;4;"2";5
380;8;257;0;0;"";"";0;0;"";0
383;26;327;0;0;"";"";0;0;"";0
384;10;279;0;0;"";"";0;0;"";0
385;8;754;0;40;"56-70";"Married";0;4;"2";7
386;7;641;0;607;"70+";"Single";0;1;"";4
387;13;754;1;1103;"26-35";"Married";0;2;"";4
389;13;694;0;108;"46-55";"";0;1;"";5
391;11;980;0;0;"";"";0;0;"";0
392;13;1029;0;0;"";"";0;0;"";0
393;13;617;0;395;"36-45";"Married";0;4;"2";2
395;13;111;0;498;"46-55";"Married";0;2;"";9
397;13;152;0;888;"26-35";"Married";0;3;"1";4
398;9;468;0;0;"";"";0;0;"";0
400;29;868;0;0;"";"";0;0;"";0
401;8;68;0;779;"26-35";"Single";0;3;"2";4
403;8;81;0;0;"";"";0;0;"";0
404;8;1045;0;1479;"18-25";"";0;1;"";5
406;9;520;0;316;"56-70";"";0;1;"";9
407;30;531;0;0;"";"";0;0;"";0
410;29;538;0;0;"";"";0;0;"";0
411;13;1065;0;0;"";"";0;0;"";0
412;12;783;0;0;"";"";0;0;"";0
413;13;434;0;297;"70+";"Single";0;1;"";3
417;13;949;0;0;"";"";0;0;"";0
418;13;888;0;691;"46-55";"Married";0;4;"2";4
419;29;265;0;0;"";"";0;0;"";0
420;29;418;0;876;"36-45";"Single";0;1;"";9
421;10;279;0;0;"";"";0;0;"";0
423;29;1040;0;0;"";"";0;0;"";0
424;8;432;0;590;"36-45";"";0;2;"";1
425;26;769;0;0;"";"";0;0;"";0
428;26;912;0;0;"";"";0;0;"";0
430;8;11;0;0;"";"";0;0;"";0
435;8;46;0;473;"46-55";"";0;2;"";4
438;10;106;0;566;"26-35";"Married";0;4;"2";5
440;13;723;0;0;"";"";0;0;"";0
441;8;97;0;0;"";"";0;0;"";0
445;9;468;0;1202;"36-45";"Single";0;3;"1";6
446;13;1031;0;105;"36-45";"Single";0;3;"1";5
447;8;88;0;0;"";"";0;0;"";0
449;8;54;0;1195;"56-70";"Married";0;2;"";5
450;8;682;0;1357;"56-70";"Married";0;4;"2";4
452;8;761;0;0;"";"";0;0;"";0
454;8;733;0;0;"";"";0;0;"";0
455;8;807;0;776;"46-55";"";0;1;"";2
456;11;571;0;1359;"46-55";"Married";0;2;"";4
457;13;951;0;0;"";"";0;0;"";0
461;13;511;0;89;"46-55";"";0;1;"";3
463;8;1058;0;1471;"46-55";"";0;1;"";5
465;8;598;0;1201;"18-25";"";0;1;"";1
468;8;792;0;0;"";"";0;0;"";0
469;30;324;0;566;"26-35";"Married";0;4;"2";5
470;26;492;0;0;"";"";0;0;"";0
472;11;759;0;0;"";"";0;0;"";0
473;26;529;0;1464;"18-25";"";0;1;"";1
474;13;601;0;0;"";"";0;0;"";0
475;13;262;0;561;"36-45";"Married";0;2;"";4
478;26;925;0;0;"";"";0;0;"";0
479;8;293;0;0;"";"";0;0;"";0
483;13;844;0;0;"";"";0;0;"";0
484;8;889;0;0;"";"";0;0;"";0
485;13;726;0;0;"";"";0;0;"";0
486;13;281;0;136;"56-70";"Single";0;2;"";1
487;5;663;0;795;"46-55";"";0;2;"1";5
488;28;492;0;401;"36-45";"Married";0;3;"1";4
491;13;21;0;0;"";"";0;0;"";0
492;4;16;0;808;"70+";"Married";0;2;"";4
494;13;780;0;0;"";"";0;0;"";0
495;12;1075;0;167;"46-55";"";0;2;"";4
496;26;746;0;0;"";"";0;0;"";0
497;8;793;0;1085;"46-55";"";0;1;"";4
499;12;107;0;268;"70+";"Married";0;2;"";2
502;9;19;0;1520;"26-35";"Married";0;3;"1";8
503;30;1015;0;0;"";"";0;0;"";0
504;27;724;0;195;"26-35";"";0;2;"";5
505;5;279;0;0;"";"";0;0;"";0
506;13;1025;0;0;"";"";0;0;"";0
507;8;672;0;797;"46-55";"";0;1;"";6
508;4;860;0;0;"";"";0;0;"";0
515;13;473;0;0;"";"";0;0;"";0
516;8;616;0;39;"70+";"Married";0;2;"";4
517;5;955;0;0;"";"";0;0;"";0
518;13;155;0;0;"";"";0;0;"";0
519;29;896;0;0;"";"";0;0;"";0
521;10;280;0;0;"";"";0;0;"";0
523;8;56;0;944;"46-55";"";0;1;"";3
525;13;22;0;0;"";"";0;0;"";0
526;8;983;0;0;"";"";0;0;"";0
528;13;135;0;0;"";"";0;0;"";0
529;8;532;0;0;"";"";0;0;"";0
530;26;466;0;0;"";"";0;0;"";0
531;8;725;0;0;"";"";0;0;"";0
532;8;810;0;0;"";"";0;0;"";0
533;13;139;0;1216;"26-35";"";0;4;"2";8
534;8;56;0;0;"";"";0;0;"";0
535;8;99;0;0;"";"";0;0;"";0
536;30;563;0;153;"46-55";"";1;1;"";5
538;8;285;0;0;"";"";0;0;"";0
539;26;301;0;0;"";"";0;0;"";0
541;13;135;0;0;"";"";0;0;"";0
543;8;87;0;839;"46-55";"";0;1;"";1
545;8;919;0;0;"";"";0;0;"";0
546;13;508;0;279;"18-25";"";0;1;"";3
548;8;49;0;0;"";"";0;0;"";0
549;8;674;0;30;"70+";"";0;1;"";5
554;13;27;0;1061;"36-45";"Single";0;1;"";3
555;8;75;0;0;"";"";0;0;"";0
557;13;167;0;0;"";"";0;0;"";0
558;29;265;0;0;"";"";0;0;"";0
560;30;683;0;1256;"36-45";"";0;1;"";4
561;8;87;0;0;"";"";0;0;"";0
563;26;620;0;958;"36-45";"Single";0;1;"";8
564;13;284;0;279;"18-25";"";0;1;"";3
566;12;466;0;569;"46-55";"";0;1;"";9
567;13;504;0;0;"";"";0;0;"";0
569;9;635;0;569;"46-55";"";0;1;"";9
570;8;817;0;124;"46-55";"Married";0;2;"";6
571;7;986;0;0;"";"";0;0;"";0
572;26;367;0;766;"36-45";"Married";0;2;"";9
575;8;481;0;0;"";"";0;0;"";0
576;8;247;0;1340;"46-55";"";0;2;"";6
577;13;24;0;53;"56-70";"";0;1;"";3
579;8;532;0;860;"26-35";"Single";0;1;"";1
584;5;1043;0;0;"";"";0;0;"";0
589;8;885;0;1489;"46-55";"Married";0;2;"";3
590;30;294;0;0;"";"";0;0;"";0
591;8;296;0;792;"36-45";"Married";0;2;"";4
592;10;106;0;0;"";"";0;0;"";0
594;13;773;0;0;"";"";0;0;"";0
596;8;66;0;516;"70+";"";0;2;"";4
598;8;81;0;243;"56-70";"Married";0;2;"";5
599;13;26;0;0;"";"";0;0;"";0
601;26;514;0;0;"";"";0;0;"";0
603;8;989;0;0;"";"";0;0;"";0
607;13;465;0;7;"26-35";"";0;3;"1";3
609;13;865;0;0;"";"";0;0;"";0
612;8;737;0;0;"";"";0;0;"";0
613;13;454;0;179;"46-55";"";0;1;"";4
615;13;919;0;1210;"46-55";"Married";0;2;"";5
617;12;779;0;0;"";"";0;0;"";0
618;13;586;0;872;"70+";"Married";0;2;"";7
620;13;672;0;0;"";"";0;0;"";0
621;30;980;0;0;"";"";0;0;"";0
623;13;954;0;0;"";"";0;0;"";0
626;12;492;0;537;"18-25";"Single";0;1;"";5
628;4;16;0;957;"26-35";"Married";0;2;"";5
634;13;162;0;0;"";"";0;0;"";0
635;5;1043;0;42;"26-35";"Married";0;4;"2";9
638;30;303;0;1458;"46-55";"Married";0;3;"1";6
639;13;504;0;1441;"36-45";"";0;3;"1";2
640;10;824;0;226;"46-55";"";0;1;"";5
641;30;261;0;0;"";"";0;0;"";0
642;26;305;0;294;"18-25";"Single";0;2;"";5
643;8;740;0;0;"";"";0;0;"";0
644;13;129;0;0;"";"";0;0;"";0
646;8;433;0;0;"";"";0;0;"";0
647;5;663;0;829;"46-55";"";0;1;"";1
648;30;260;0;0;"";"";0;0;"";0
649;8;907;0;1321;"36-45";"Married";0;3;"1";1
650;8;1017;0;0;"";"";0;0;"";0
651;8;256;0;522;"46-55";"";0;3;"1";6
654;13;249;0;499;"36-45";"Married";1;2;"";5
656;29;896;0;460;"70+";"Married";0;2;"";5
657;30;909;0;586;"46-55";"";0;1;"";4
659;30;945;0;0;"";"";0;0;"";0
660;8;882;0;446;"36-45";"Single";0;3;"2";4
661;8;902;0;754;"46-55";"";0;1;"";2
662;13;386;0;0;"";"";0;0;"";0
664;13;408;0;1192;"70+";"";0;1;"";2
665;8;58;0;637;"46-55";"";0;1;"";6
666;12;470;0;0;"";"";0;0;"";0
667;11;669;0;0;"";"";0;0;"";0
671;11;571;0;0;"";"";0;0;"";0
672;9;635;0;0;"";"";0;0;"";0
673;10;732;0;0;"";"";0;0;"";0
677;8;755;0;243;"56-70";"Married";0;2;"";5
678;8;52;0;1064;"36-45";"Married";0;2;"";9
680;13;468;0;0;"";"";0;0;"";0
681;13;694;0;0;"";"";0;0;"";0
682;8;432;0;1412;"46-55";"";0;1;"";5
683;13;510;0;586;"46-55";"";0;1;"";4
684;26;852;0;0;"";"";0;0;"";0
686;8;610;0;0;"";"";0;0;"";0
687;8;13;0;1514;"36-45";"";0;1;"";6
689;11;910;0;724;"26-35";"";0;3;"1";6
693;8;711;0;384;"36-45";"Single";0;1;"";3
694;13;694;0;1015;"36-45";"Married";0;2;"";6
695;13;249;0;1506;"46-55";"";0;1;"";5
698;8;73;0;0;"";"";0;0;"";0
699;5;934;0;0;"";"";0;0;"";0
701;13;408;0;0;"";"";0;0;"";0
704;8;884;0;0;"";"";0;0;"";0
705;29;985;0;0;"";"";0;0;"";0
706;8;271;0;1305;"46-55";"";0;1;"";5
708;13;786;0;0;"";"";0;0;"";0
710;26;937;0;1528;"46-55";"";0;3;"1";2
711;30;818;0;0;"";"";0;0;"";0
712;13;422;0;38;"46-55";"Single";0;2;"";5
714;9;870;0;6;"46-55";"Married";0;2;"";5
715;29;750;0;1167;"46-55";"";0;1;"";5
718;8;494;0;0;"";"";0;0;"";0
719;29;443;0;0;"";"";0;0;"";0
721;29;896;0;207;"46-55";"";0;1;"";5
722;8;658;0;0;"";"";0;0;"";0
723;13;751;0;572;"36-45";"Married";0;2;"";4
724;8;424;0;0;"";"";0;0;"";0
731;30;354;0;0;"";"";0;0;"";0
732;30;773;0;0;"";"";0;0;"";0
733;6;677;0;0;"";"";0;0;"";0
735;13;714;0;748;"46-55";"Married";0;3;"1";8
736;3;670;0;444;"46-55";"";0;2;"";2
740;8;810;0;276;"46-55";"";0;2;"";5
741;8;14;0;528;"46-55";"Married";0;2;"";10
742;8;1000;0;0;"";"";0;0;"";0
743;8;1085;0;42;"26-35";"Married";0;4;"2";9
746;13;756;0;15;"46-55";"Married";0;2;"";6
748;30;468;0;910;"46-55";"Married";0;3;"1";3
750;30;362;0;0;"";"";0;0;"";0
751;4;459;0;41;"46-55";"Single";0;2;"";4
754;12;783;0;528;"46-55";"Married";0;2;"";10
759;13;434;0;277;"18-25";"";0;2;"";5
760;4;803;0;0;"";"";0;0;"";0
762;13;158;0;0;"";"";0;0;"";0
764;26;502;0;0;"";"";0;0;"";0
765;13;756;0;964;"46-55";"";0;1;"";5
767;13;588;0;823;"36-45";"";1;4;"2";2
769;13;681;0;209;"26-35";"";0;1;"";6
771;30;341;0;90;"46-55";"";0;2;"";5
773;26;979;0;510;"26-35";"";0;2;"1";1
774;30;924;0;650;"46-55";"";0;1;"";5
775;13;513;0;161;"46-55";"";0;1;"";1
776;8;682;0;0;"";"";0;0;"";0
777;8;989;0;514;"26-35";"";0;2;"";6
778;13;653;0;0;"";"";0;0;"";0
779;29;416;0;0;"";"";0;0;"";0
780;13;153;0;0;"";"";0;0;"";0
782;8;761;0;0;"";"";0;0;"";0
784;26;916;0;1469;"46-55";"";0;2;"";12
785;26;745;0;0;"";"";0;0;"";0
787;13;734;0;732;"36-45";"";0;2;"";2
789;8;812;0;353;"36-45";"Single";0;2;"";6
792;30;773;0;1320;"26-35";"";0;1;"";4
794;12;1075;0;789;"46-55";"";0;2;"";1
795;9;535;0;74;"26-35";"Married";0;2;"";2
796;8;733;0;74;"26-35";"Married";0;2;"";2
799;8;793;0;0;"";"";0;0;"";0
800;29;458;0;0;"";"";0;0;"";0
803;13;1027;0;0;"";"";0;0;"";0
806;13;23;0;159;"36-45";"Married";1;3;"1";1
809;8;7;0;0;"";"";0;0;"";0
810;12;470;0;132;"46-55";"";0;3;"1";3
812;9;468;0;0;"";"";0;0;"";0
813;10;457;0;0;"";"";0;0;"";0
814;30;351;0;1383;"26-35";"Married";0;2;"";5
815;13;608;0;0;"";"";0;0;"";0
816;11;658;0;0;"";"";0;0;"";0
817;13;756;0;1168;"18-25";"Married";1;2;"";4
819;11;658;0;0;"";"";0;0;"";0
820;28;407;0;1387;"46-55";"";0;1;"";1
821;13;25;0;0;"";"";0;0;"";0
823;9;578;0;0;"";"";0;0;"";0
824;13;141;0;89;"46-55";"";0;1;"";3
825;26;752;0;1332;"36-45";"Married";0;2;"";8
826;11;506;0;195;"26-35";"";0;2;"";5
829;13;275;0;0;"";"";0;0;"";0
830;26;2;0;0;"";"";0;0;"";0
831;26;344;0;0;"";"";0;0;"";0
832;29;416;0;19;"46-55";"";0;1;"";3
833;8;754;0;1388;"46-55";"Married";0;2;"";5
835;13;865;0;0;"";"";0;0;"";0
836;26;852;0;225;"46-55";"Married";0;4;"2";5
838;13;159;0;649;"46-55";"Married";0;4;"2";2
840;13;504;0;0;"";"";0;0;"";0
841;8;48;0;143;"70+";"";0;1;"";2
842;29;621;0;1045;"36-45";"";0;2;"";6
843;13;1083;0;142;"46-55";"Married";0;2;"";4
846;10;934;0;957;"26-35";"Married";0;2;"";5
847;8;69;0;892;"46-55";"";0;1;"";2
848;13;685;0;314;"26-35";"";0;2;"";2
850;13;890;0;1122;"70+";"Married";0;2;"";4
851;13;844;0;316;"56-70";"";0;1;"";9
852;30;946;0;0;"";"";0;0;"";0
853;8;46;0;0;"";"";0;0;"";0
854;8;1045;0;0;"";"";0;0;"";0
855;8;812;0;0;"";"";0;0;"";0
856;13;763;0;0;"";"";0;0;"";0
857;13;885;0;0;"";"";0;0;"";0
858;8;581;0;58;"26-35";"";0;1;"";4
859;13;1108;0;27;"36-45";"Married";0;2;"";8
860;13;726;0;1343;"26-35";"";0;2;"1";4
861;13;778;0;0;"";"";0;0;"";0
862;8;433;0;574;"36-45";"";0;1;"";4
863;8;6;0;1259;"46-55";"Married";0;3;"1";5
867;9;19;0;1386;"18-25";"";0;3;"1";5
868;30;320;0;1259;"46-55";"Married";0;3;"1";5
869;30;310;0;569;"46-55";"";0;1;"";9
870;13;705;0;1520;"26-35";"Married";0;3;"1";8
872;8;928;0;520;"36-45";"Married";0;2;"";6
873;2;559;0;0;"";"";0;0;"";0
874;29;416;0;0;"";"";0;0;"";0
875;26;410;0;823;"36-45";"";1;4;"2";2
878;30;370;0;0;"";"";0;0;"";0
879;13;125;0;545;"70+";"Married";0;3;"1";4
880;8;63;0;338;"46-55";"";0;1;"";5
881;13;167;0;749;"36-45";"";0;4;"2";5
882;8;970;0;355;"46-55";"";0;2;"";6
883;12;526;0;0;"";"";0;0;"";0
884;11;971;0;0;"";"";0;0;"";0
885;13;113;0;988;"46-55";"";0;2;"";2
886;9;578;0;495;"36-45";"Married";1;2;"";8
888;8;60;0;1357;"56-70";"Married";0;4;"2";4
892;29;787;0;0;"";"";0;0;"";0
893;13;675;0;1263;"46-55";"Married";1;2;"";3
894;12;1063;0;0;"";"";0;0;"";0
897;13;440;0;7;"26-35";"";0;3;"1";3
899;5;689;0;0;"";"";0;0;"";0
901;8;447;0;0;"";"";0;0;"";0
902;11;571;0;0;"";"";0;0;"";0
904;8;964;0;0;"";"";0;0;"";0
906;8;88;0;910;"46-55";"Married";0;3;"1";3
907;8;68;0;0;"";"";0;0;"";0
909;13;561;0;871;"36-45";"Married";0;3;"1";7
910;13;468;0;103;"46-55";"";0;2;"";4
911;13;606;0;0;"";"";0;0;"";0
912;30;821;0;0;"";"";0;0;"";0
913;13;134;0;0;"";"";0;0;"";0
915;8;84;0;0;"";"";0;0;"";0
916;30;984;0;0;"";"";0;0;"";0
922;26;748;0;1402;"18-25";"Single";0;1;"";12
923;13;556;0;0;"";"";0;0;"";0
924;13;152;0;520;"36-45";"Married";0;2;"";6
925;7;1102;0;0;"";"";0;0;"";0
930;13;513;0;1458;"46-55";"Married";0;3;"1";6
932;8;449;0;0;"";"";0;0;"";0
